Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB  DEBUG
    2581        0     3796   100.0%           20       8769  (6377 3796 3749 3753)
    1697        0    23358   100.0%           20       8859  (25055 23358 23269 23269)
    1935        7    42764    99.6%           20       9031  (44706 42764 42606 42599)
    1926        1    24108    99.9%           20       9129  (26035 24108 24011 24010)
    2480        0     6354   100.0%           20       9156  (8834 6354 6308 6314)
    1687        0    19765   100.0%           20       9233  (21452 19765 19691 19691)
    1904        4    43781    99.8%           20       9406  (45689 43781 43616 43612)
    1845        0    27463   100.0%           20       9518  (29308 27463 27354 27354)
    2577        2     5836    99.9%           20       9542  (8415 5836 5788 5786)
    1673        0    19503   100.0%           20       9618  (21176 19503 19430 19430)
    1878        4    39154    99.8%           20       9774  (41036 39154 39006 39002)
    1758        1    28117    99.9%           20       9885  (29876 28117 28007 28006)
    5145        0    10193   100.0%           20       9929  (15338 10193 10135 10182)
    1578        1     6688    99.9%           20       9954  (8267 6688 6654 6653)
    1849        3    35454    99.8%           20      10093  (37306 35454 35320 35317)
    1855        4    29852    99.8%           20      10214  (31711 29852 29740 29736)
    1895        7    24252    99.6%           20      10310  (26154 24252 24160 24153)
    2435        0     4185   100.0%           20      10327  (6620 4185 4141 4141)
    1823        3    35420    99.8%           20      10467  (37246 35420 35287 35284)
    1895        4    33652    99.8%           20      10602  (35551 33652 33526 33522)
    1746        4    24251    99.8%           20      10697  (26001 24251 24158 24154)
    2577        0     3678   100.0%           20      10713  (6255 3678 3631 3635)
    1767        3    30537    99.8%           20      10834  (32307 30537 30422 30419)
    1879        3    36563    99.8%           20      10980  (38445 36563 36422 36419)
    1856        4    20390    99.8%           20      11061  (22250 20390 20311 20307)
    2440        0     5836   100.0%           20      11086  (8276 5836 5788 5790)
    1687        1    20530    99.9%           20      11165  (22218 20530 20453 20452)
    1903        4    41984    99.8%           20      11332  (43891 41984 41826 41822)
    1762        3    24019    99.8%           20      11429  (25784 24019 23927 23924)
    2633        0    10211   100.0%           20      11472  (12844 10211 10137 10144)
    1632        0    14269   100.0%           20      11527  (15901 14269 14217 14217)
    1909        7    39673    99.6%           20      11685  (41589 39673 39527 39520)
    1817        3    31978    99.8%           20      11816  (33798 31978 31855 31852)
    2638        2    10604    99.9%           20      11859  (13244 10604 10533 10531)
    1654        0    14624   100.0%           20      11916  (16278 14624 14569 14570)
    1929        7    42053    99.6%           20      12082  (43989 42053 41900 41893)
    1830        6    30257    99.7%           20      12213  (32093 30257 30144 30138)
