Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB  DEBUG
    2451     2011        0    54.9%            2       1270  (4462 0 2011 0)
    2481     1913        0    56.5%            2       1280  (4394 0 1913 0)
    2629     1950        1    57.4%            2       1287  (4580 1 1951 1)
    2439     1875        0    56.5%            2       1295  (4314 0 1875 0)
    3146     2234        1    58.5%            2       1304  (5381 1 2236 2)
    2582     1940        4    57.1%            2       1312  (4526 4 1987 47)
    2506     2033        4    55.2%            2       1320  (4543 4 2037 4)
    4724     1954        3    70.7%            2       1328  (6681 3 1958 4)
    3031     2457        0    55.2%            2       1338  (5488 0 2457 0)
    3008     1962        0    60.5%            2       1346  (4970 0 1962 0)
    4443     2106        0    67.8%            2       1354  (6549 0 2106 0)
    4288     2018        9    68.0%            2       1362  (6315 9 2021 3)
    5226     2275        0    69.7%            2       1376  (7501 0 2275 0)
    6294     1971        0    76.2%            2       1384  (8265 0 1971 0)
    7209     2130        0    77.2%            2       1392  (9339 0 2130 0)
   10130     2719        0    78.8%            2       1403  (12849 0 2719 0)
   13732     2985        2    82.1%            2       1414  (16719 2 2985 0)
   22176     3478        0    86.4%            2       1430  (25654 0 3478 0)
   68539     5052       37    93.1%            2       1450  (73628 37 5062 10)
   29633      838       76    97.2%            2       1454  (30547 76 874 36)
    6630      291      102    95.8%            3       1455  (7023 102 340 49)
    1774      152      106    92.1%            3       1455  (2032 106 202 50)
    1240       54      105    95.8%            3       1455  (1399 105 102 48)
    1153       53      107    95.6%            4       1455  (1313 107 102 49)
    1478       90       52    94.3%            4       1456  (1620 52 114 24)
    1522        0        0   100.0%            4       1456  (1522 0 0 0)
    1127        0        0   100.0%            4       1456  (1127 0 0 0)
    3202      160       22    95.2%            4       1456  (3384 22 175 15)
    1493       32        0    97.9%            4       1456  (1525 0 32 0)
    1121        0        0   100.0%            4       1456  (1121 0 0 0)
    1524        0        0   100.0%            4       1456  (1524 0 0 0)
    1108        0        0   100.0%            4       1456  (1108 0 0 0)
    1529        0        0   100.0%            4       1456  (1529 0 0 0)
    1097       24        0    97.9%            4       1456  (1121 0 24 0)
    1106        0        0   100.0%            4       1456  (1106 0 0 0)
    1125        0        0   100.0%            4       1456  (1125 0 0 0)
    1122        0        0   100.0%            4       1456  (1122 0 0 0)
    1499        0        0   100.0%            4       1456  (1499 0 0 0)
    1504        0        0   100.0%            4       1456  (1504 0 0 0)
    1522        0        0   100.0%            4       1456  (1522 0 0 0)
    1127        0        0   100.0%            4       1456  (1127 0 0 0)
    1516        1        0    99.9%            4       1456  (1517 0 1 0)
    1113        0        0   100.0%            4       1456  (1113 0 0 0)
    1110        0        0   100.0%            4       1456  (1110 0 0 0)
    1507        0        0   100.0%            4       1456  (1507 0 0 0)
    1521        0        0   100.0%            4       1456  (1521 0 0 0)
    1530        0        0   100.0%            4       1456  (1530 0 0 0)
    1106        0        0   100.0%            4       1456  (1106 0 0 0)
    1507        0        0   100.0%            4       1456  (1507 0 0 0)
    1534        0        0   100.0%            4       1456  (1534 0 0 0)
    1142        0        4   100.0%            4       1456  (1146 4 2 3)
    1559        0        0   100.0%            4       1456  (1559 0 0 0)
    1115        0        0   100.0%            4       1456  (1115 0 0 0)
    1520        0        0   100.0%            4       1456  (1520 0 0 0)
    1537        0        0   100.0%            4       1456  (1537 0 0 0)
    1523        2        1    99.9%            4       1456  (1526 1 2 0)
    3664      208        4    94.6%            4       1457  (3876 4 244 36)
    1140        0        0   100.0%            4       1457  (1140 0 0 0)
    1520        0        0   100.0%            4       1457  (1520 0 0 0)
    1558        0        0   100.0%            4       1457  (1558 0 0 0)
    1119        0        0   100.0%            4       1457  (1119 0 0 0)
    1158        0        0   100.0%            4       1457  (1158 0 0 0)
    1144        0        4   100.0%            4       1457  (1148 4 2 3)
    1547        0        0   100.0%            4       1457  (1547 0 0 0)
    1507        0        0   100.0%            4       1457  (1507 0 0 0)
    1133        0        0   100.0%            4       1457  (1133 0 0 0)
    1120        0        0   100.0%            4       1457  (1120 0 0 0)
    1507        0        0   100.0%            4       1457  (1507 0 0 0)
    1146        0        0   100.0%            4       1457  (1146 0 0 0)
    1523        0        0   100.0%            4       1457  (1523 0 0 0)
    1522        0        0   100.0%            4       1457  (1522 0 0 0)
    1135        0        0   100.0%            4       1457  (1135 0 0 0)
    1113        0        0   100.0%            4       1457  (1113 0 0 0)
    1122        0        0   100.0%            4       1457  (1122 0 0 0)
    1534        0        1   100.0%            4       1457  (1535 1 0 1)
    1575        0       30   100.0%            4       1457  (1605 30 1 1)
    1525        0        2   100.0%            4       1457  (1527 2 0 0)
    1520        0        0   100.0%            4       1457  (1520 0 0 0)
    1535        0        0   100.0%            4       1457  (1535 0 0 0)
    1133        0        0   100.0%            4       1457  (1133 0 0 0)
    1127        0        0   100.0%            4       1457  (1127 0 0 0)
    1514        0        0   100.0%            4       1457  (1514 0 0 0)
    1123        0        0   100.0%            4       1457  (1123 0 0 0)
    1131        0        0   100.0%            4       1457  (1131 0 0 0)
    1127        0        0   100.0%            4       1457  (1127 0 0 0)
    1127        0        0   100.0%            4       1457  (1127 0 0 0)
    1530        0        0   100.0%            4       1457  (1530 0 0 0)
    1520        0        0   100.0%            4       1457  (1520 0 0 0)
    1520        0        0   100.0%            4       1457  (1520 0 0 0)
    1127        0        0   100.0%            4       1457  (1127 0 0 0)
    1534        0        0   100.0%            4       1457  (1534 0 0 0)
    1535        0        0   100.0%            4       1457  (1535 0 0 0)
    1509        0        0   100.0%            4       1457  (1509 0 0 0)
    1520        0        0   100.0%            4       1457  (1520 0 0 0)
    1497        1        0    99.9%            4       1457  (1498 0 1 0)
    1520        0        0   100.0%            4       1457  (1520 0 0 0)
    1521        0        0   100.0%            4       1457  (1521 0 0 0)
    1120        0        0   100.0%            4       1457  (1120 0 0 0)
    1517        0        0   100.0%            4       1457  (1517 0 0 0)
    1517        0        0   100.0%            4       1457  (1517 0 0 0)
    1515        2        1    99.9%            4       1457  (1518 1 2 0)
    1122        0        0   100.0%            4       1457  (1122 0 0 0)
    1120        0        0   100.0%            4       1457  (1120 0 0 0)
    1539        0        0   100.0%            4       1457  (1539 0 0 0)
    1127        0        0   100.0%            4       1457  (1127 0 0 0)
    1558        0        0   100.0%            4       1457  (1558 0 0 0)
    1547        0        0   100.0%            4       1457  (1547 0 0 0)
    1127        0        0   100.0%            4       1457  (1127 0 0 0)
    1158        0        0   100.0%            4       1457  (1158 0 0 0)
    1518        0        0   100.0%            4       1457  (1518 0 0 0)
    1528        0        0   100.0%            4       1457  (1528 0 0 0)
    1122        0        0   100.0%            4       1457  (1122 0 0 0)
    1534        0        0   100.0%            4       1457  (1534 0 0 0)
   15021       80       12    99.5%            4       1458  (15113 12 140 60)
    1534        0        0   100.0%            4       1458  (1534 0 0 0)
    1535        0        0   100.0%            4       1458  (1535 0 0 0)
    1510        2        1    99.9%            4       1458  (1513 1 2 0)
    1511        0        0   100.0%            4       1458  (1511 0 0 0)
    1132        0        4   100.0%            4       1458  (1136 4 2 4)
    1119        0        0   100.0%            4       1458  (1119 0 0 0)
    1113        0        0   100.0%            4       1458  (1113 0 0 0)
    1123        0        0   100.0%            4       1458  (1123 0 0 0)
    1535        0        0   100.0%            4       1458  (1535 0 0 0)
    1113        0        0   100.0%            4       1458  (1113 0 0 0)
    1158        0        0   100.0%            4       1458  (1158 0 0 0)
    1520        0        0   100.0%            4       1458  (1520 0 0 0)
    1110        0        0   100.0%            4       1458  (1110 0 0 0)
    1118        2        1    99.8%            4       1458  (1121 1 2 0)
    1120        0        0   100.0%            4       1458  (1120 0 0 0)
    1507        0        0   100.0%            4       1458  (1507 0 0 0)
    1113        0        0   100.0%            4       1458  (1113 0 0 0)
    1141        0        7   100.0%            4       1458  (1148 7 0 1)
    1557        2       28    99.9%            4       1458  (1587 28 3 1)
    1504        0        0   100.0%            4       1458  (1504 0 0 0)
    1106        0        0   100.0%            4       1458  (1106 0 0 0)
    1106        0        0   100.0%            4       1458  (1106 0 0 0)
    1110        0        0   100.0%            4       1458  (1110 0 0 0)
    1110        0        0   100.0%            4       1458  (1110 0 0 0)
    1520        0        0   100.0%            4       1458  (1520 0 0 0)
    1520        0        0   100.0%            4       1458  (1520 0 0 0)
    1119        0        0   100.0%            4       1458  (1119 0 0 0)
    1528        0        0   100.0%            4       1458  (1528 0 0 0)
    1523        0        0   100.0%            4       1458  (1523 0 0 0)
    1521        0        0   100.0%            4       1458  (1521 0 0 0)
    1527        0        0   100.0%            4       1458  (1527 0 0 0)
    1528        0        0   100.0%            4       1458  (1528 0 0 0)
    1520        0        0   100.0%            4       1458  (1520 0 0 0)
    1528        0        0   100.0%            4       1458  (1528 0 0 0)
    1147        3        1    99.7%            4       1458  (1151 1 3 0)
    1514        0        0   100.0%            4       1458  (1514 0 0 0)
    1520        0        0   100.0%            4       1458  (1520 0 0 0)
    1120        0        0   100.0%            4       1458  (1120 0 0 0)
    1864        0        1   100.0%            4       1458  (1865 1 1 1)
    1529        0        0   100.0%            4       1458  (1529 0 0 0)
    1113        0        0   100.0%            4       1458  (1113 0 0 0)
    1110        0        0   100.0%            4       1458  (1110 0 0 0)
    1134        0        0   100.0%            4       1458  (1134 0 0 0)
    1540        1        1    99.9%            4       1458  (1542 1 2 1)
    1559        0        0   100.0%            4       1458  (1559 0 0 0)
    1130        0        0   100.0%            4       1458  (1130 0 0 0)
    1515        0        0   100.0%            4       1458  (1515 0 0 0)
    1499        0        0   100.0%            4       1458  (1499 0 0 0)
    1523        0        0   100.0%            4       1458  (1523 0 0 0)
    1524        0        0   100.0%            4       1458  (1524 0 0 0)
    1534        0        0   100.0%            4       1458  (1534 0 0 0)
    1158        0        0   100.0%            4       1458  (1158 0 0 0)
    1119        0        0   100.0%            4       1458  (1119 0 0 0)
    1127        0        0   100.0%            4       1458  (1127 0 0 0)
    1127        0        0   100.0%            4       1458  (1127 0 0 0)
    1524        0        0   100.0%            4       1458  (1524 0 0 0)
    1106        0        0   100.0%            4       1458  (1106 0 0 0)
    1113        0        0   100.0%            4       1458  (1113 0 0 0)
    1535        0        0   100.0%            4       1458  (1535 0 0 0)
    1862       38        0    98.0%            4       1458  (1900 0 38 0)
    1125        0        0   100.0%            4       1458  (1125 0 0 0)
    1113        0        0   100.0%            4       1458  (1113 0 0 0)
    1146        0        0   100.0%            4       1458  (1146 0 0 0)
    1110        0        0   100.0%            4       1458  (1110 0 0 0)
    1120        0        0   100.0%            4       1458  (1120 0 0 0)
    1127        0        0   100.0%            4       1458  (1127 0 0 0)
    1113        0        0   100.0%            4       1458  (1113 0 0 0)
    1123        0        0   100.0%            4       1458  (1123 0 0 0)
    1106        0        0   100.0%            4       1458  (1106 0 0 0)
    1146        0        0   100.0%            4       1458  (1146 0 0 0)
    1118        0        0   100.0%            4       1458  (1118 0 0 0)
    1521        0        0   100.0%            4       1458  (1521 0 0 0)
    1514        1        0    99.9%            4       1458  (1515 0 1 0)
    1520        0        0   100.0%            4       1458  (1520 0 0 0)
    1556        0       17   100.0%            4       1458  (1573 17 2 2)
    1155        0       18   100.0%            4       1458  (1173 18 1 1)
    1129        0        0   100.0%            4       1458  (1129 0 0 0)
    1519        0        0   100.0%            4       1458  (1519 0 0 0)
    1158        0        0   100.0%            4       1458  (1158 0 0 0)
    1547        0        0   100.0%            4       1458  (1547 0 0 0)
    1123        0        0   100.0%            4       1458  (1123 0 0 0)
    1521        0        0   100.0%            4       1458  (1521 0 0 0)
    1514        0        0   100.0%            4       1458  (1514 0 0 0)
    1521        0        0   100.0%            4       1458  (1521 0 0 0)
    1158        0        0   100.0%            4       1458  (1158 0 0 0)
    1110        0        0   100.0%            4       1458  (1110 0 0 0)
    1120        0        0   100.0%            4       1458  (1120 0 0 0)
    1106        0        0   100.0%            4       1458  (1106 0 0 0)
    1513        0        0   100.0%            4       1458  (1513 0 0 0)
    1120        0        0   100.0%            4       1458  (1120 0 0 0)
    1528        0        0   100.0%            4       1458  (1528 0 0 0)
    1509        0        0   100.0%            4       1458  (1509 0 0 0)
    1528        0        0   100.0%            4       1458  (1528 0 0 0)
    1514        0        0   100.0%            4       1458  (1514 0 0 0)
    1507        0        0   100.0%            4       1458  (1507 0 0 0)
    1524        0        0   100.0%            4       1458  (1524 0 0 0)
    1113        0        0   100.0%            4       1458  (1113 0 0 0)
    1123        1        0    99.9%            4       1458  (1124 0 1 0)
    1524        0        0   100.0%            4       1458  (1524 0 0 0)
    1528        0        0   100.0%            4       1458  (1528 0 0 0)
    1113        0        0   100.0%            4       1458  (1113 0 0 0)
    1507        0        0   100.0%            4       1458  (1507 0 0 0)
    1110        0        0   100.0%            4       1458  (1110 0 0 0)
    1528        0        0   100.0%            4       1458  (1528 0 0 0)
    1528        0        0   100.0%            4       1458  (1528 0 0 0)
    1124        0        0   100.0%            4       1458  (1124 0 0 0)
    1120        0        0   100.0%            4       1458  (1120 0 0 0)
    1534        0        0   100.0%            4       1458  (1534 0 0 0)
    1158        0        0   100.0%            4       1458  (1158 0 0 0)
    1106        0        0   100.0%            4       1458  (1106 0 0 0)
    1511        0        0   100.0%            4       1458  (1511 0 0 0)
    1547        0        0   100.0%            4       1458  (1547 0 0 0)
    1558        0        0   100.0%            4       1458  (1558 0 0 0)
    1134        0        0   100.0%            4       1458  (1134 0 0 0)
    1520        2        1    99.9%            4       1458  (1523 1 2 0)
    1517        0        0   100.0%            4       1458  (1517 0 0 0)
    1528        0        0   100.0%            4       1458  (1528 0 0 0)
    1119        0        0   100.0%            4       1458  (1119 0 0 0)
    1113        0        0   100.0%            4       1458  (1113 0 0 0)
    1127        0        0   100.0%            4       1458  (1127 0 0 0)
    1127        0        0   100.0%            4       1458  (1127 0 0 0)
    1528        0        0   100.0%            4       1458  (1528 0 0 0)
    1127        0        0   100.0%            4       1458  (1127 0 0 0)
    1521        0        0   100.0%            4       1458  (1521 0 0 0)
    1559        0        0   100.0%            4       1458  (1559 0 0 0)
    1521        0        0   100.0%            4       1458  (1521 0 0 0)
    1520        0        0   100.0%            4       1458  (1520 0 0 0)
    1127        0        0   100.0%            4       1458  (1127 0 0 0)
    1511        0        0   100.0%            4       1458  (1511 0 0 0)
    1521        0        0   100.0%            4       1458  (1521 0 0 0)
    1122        0        1   100.0%            4       1458  (1123 1 0 1)
    1577        1       27    99.9%            4       1458  (1605 27 2 1)
    1145        0        6   100.0%            4       1458  (1151 6 0 0)
    1521        0        0   100.0%            4       1458  (1521 0 0 0)
    1131        0        0   100.0%            4       1458  (1131 0 0 0)
    1528        0        0   100.0%            4       1458  (1528 0 0 0)
    1523        0        0   100.0%            4       1458  (1523 0 0 0)
    1122        0        0   100.0%            4       1458  (1122 0 0 0)
    1535        0        0   100.0%            4       1458  (1535 0 0 0)
    1123        0        0   100.0%            4       1458  (1123 0 0 0)
    1524        0        0   100.0%            4       1458  (1524 0 0 0)
    1523        0        0   100.0%            4       1458  (1523 0 0 0)
    1532        0        0   100.0%            4       1458  (1532 0 0 0)
    1120        0        0   100.0%            4       1458  (1120 0 0 0)
    1535        0        0   100.0%            4       1458  (1535 0 0 0)
    1524        0        0   100.0%            4       1458  (1524 0 0 0)
    1521        0        0   100.0%            4       1458  (1521 0 0 0)
    1127        0        0   100.0%            4       1458  (1127 0 0 0)
    1516        0        0   100.0%            4       1458  (1516 0 0 0)
    1119        0        0   100.0%            4       1458  (1119 0 0 0)
    1520        0        0   100.0%            4       1458  (1520 0 0 0)
    1512        0        0   100.0%            4       1458  (1512 0 0 0)
    1110       26        0    97.7%            4       1458  (1136 0 26 0)
    1110        0        0   100.0%            4       1458  (1110 0 0 0)
    1521        0        0   100.0%            4       1458  (1521 0 0 0)
    1106        0        0   100.0%            4       1458  (1106 0 0 0)
    1134        0        0   100.0%            4       1458  (1134 0 0 0)
    1133        0        0   100.0%            4       1458  (1133 0 0 0)
    1119        0        0   100.0%            4       1458  (1119 0 0 0)
    1547        0        0   100.0%            4       1458  (1547 0 0 0)
    1512        0        0   100.0%            4       1458  (1512 0 0 0)
    1511        0        0   100.0%            4       1458  (1511 0 0 0)
    1521        0        0   100.0%            4       1458  (1521 0 0 0)
    1525        0        0   100.0%            4       1458  (1525 0 0 0)
    1119        0        0   100.0%            4       1458  (1119 0 0 0)
    1520        0        0   100.0%            4       1458  (1520 0 0 0)
    4267        0        3   100.0%            4       1458  (4270 3 0 44)
    1508        0        0   100.0%            4       1458  (1508 0 0 0)
    1113        0        0   100.0%            4       1458  (1113 0 0 0)
    1113        0        0   100.0%            4       1458  (1113 0 0 0)
    1514        0        0   100.0%            4       1458  (1514 0 0 0)
    1524        0        0   100.0%            4       1458  (1524 0 0 0)
    1161        0        9   100.0%            4       1458  (1170 9 2 9)
    1153        1        1    99.9%            4       1458  (1155 1 2 1)
    1517        0        0   100.0%            4       1458  (1517 0 0 0)
    1521        0        0   100.0%            4       1458  (1521 0 0 0)
    1158        0        0   100.0%            4       1458  (1158 0 0 0)
    1120        0        0   100.0%            4       1458  (1120 0 0 0)
    1127        0        0   100.0%            4       1458  (1127 0 0 0)
    1521        0        0   100.0%            4       1458  (1521 0 0 0)
    1122        0        0   100.0%            4       1458  (1122 0 0 0)
    1119        0        0   100.0%            4       1458  (1119 0 0 0)
    1127        0        0   100.0%            4       1458  (1127 0 0 0)
    1522        0        0   100.0%            4       1458  (1522 0 0 0)
    1120        0        0   100.0%            4       1458  (1120 0 0 0)
    1514        0        0   100.0%            4       1458  (1514 0 0 0)
    1506        0        0   100.0%            4       1458  (1506 0 0 0)
    1540        0        5   100.0%            4       1458  (1545 5 1 2)
    1532        0       22   100.0%            4       1458  (1554 22 0 0)
    1116        0        3   100.0%            4       1458  (1119 3 0 0)
    1120        0        0   100.0%            4       1458  (1120 0 0 0)
    1528        0        0   100.0%            4       1458  (1528 0 0 0)
    1130        0        0   100.0%            4       1458  (1130 0 0 0)
    1119        0        0   100.0%            4       1458  (1119 0 0 0)
    1120        0        0   100.0%            4       1458  (1120 0 0 0)
    1528        0        0   100.0%            4       1458  (1528 0 0 0)
    1511        1        1    99.9%            4       1458  (1513 1 2 1)
    1511        0        0   100.0%            4       1458  (1511 0 0 0)
    1106        0        0   100.0%            4       1458  (1106 0 0 0)
    1520        0        0   100.0%            4       1458  (1520 0 0 0)
    1120        0        0   100.0%            4       1458  (1120 0 0 0)
    1521        0        0   100.0%            4       1458  (1521 0 0 0)
    1523        1        0    99.9%            4       1458  (1524 0 1 0)
