Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   	BUFFERS	CACHE  DEBUG
    1327        0        0   100.0%         1466     338898  1327 0 0 0 1327
    1332        2        1    99.9%         1468     338896  1335 1 2 0 1333
    1433        0        0   100.0%         1468     338898  1433 0 0 0 1433
    1330        0        0   100.0%         1468     338898  1330 0 0 0 1330
    1310        0        0   100.0%         1468     338898  1310 0 0 0 1310
    1301        0        0   100.0%         1468     338899  1301 0 0 0 1301
    1814        0        0   100.0%         1468     338899  1814 0 0 0 1814
    1312        0        3   100.0%         1470     338899  1315 3 0 2 1315
    1782        0        0   100.0%         1470     338899  1782 0 0 0 1782
    1332        0        0   100.0%         1470     338899  1332 0 0 0 1332
    1330        0        0   100.0%         1470     338899  1330 0 0 0 1330
    1822        0        0   100.0%         1470     338899  1822 0 0 0 1822
    1343        0        0   100.0%         1470     338899  1343 0 0 0 1343
    1804        0        1   100.0%         1472     338899  1805 1 0 0 1805
    1713      229        0    88.2%         1552     339041  1942 0 229 0 1713
    1310        0        0   100.0%         1552     339048  1310 0 0 0 1310
    1310        0        0   100.0%         1552     339048  1310 0 0 0 1310
    1310        0        0   100.0%         1552     339048  1310 0 0 0 1310
    2818        0        9   100.0%         1555     339045  2827 9 3 7 2824
    4851       86        0    98.3%         1555     339134  4937 0 86 0 4851
    1328        0        0   100.0%         1555     339134  1328 0 0 0 1328
    1327        0        0   100.0%         1555     339134  1327 0 0 0 1327
    1805        0        0   100.0%         1555     339134  1805 0 0 0 1805
    1822        0        0   100.0%         1555     339134  1822 0 0 0 1822
    1342        0        1   100.0%         1557     339134  1343 1 0 1 1343
    1308        0        0   100.0%         1557     339134  1308 0 0 0 1308
    1822        0        0   100.0%         1557     339134  1822 0 0 0 1822
    1328        0        0   100.0%         1557     339134  1328 0 0 0 1328
    2951        3        0    99.9%         1558     339133  2954 0 3 0 2951

Ending tracing...
