sec,cpu,mem
0,0.07957377359196219,0.06006037538375598
1,0.07792897063912922,0.06153769187831364
2,0.07724104533631057,0.05387962573262573
3,0.08251553360870778,0.06027159196204248
4,0.08014553873569635,0.05778714429249194
5,0.08957353751046633,0.06101647837008023
6,0.07723641595032117,0.05744341138710521
7,0.08965767771420619,0.06199077058330945
8,0.0791446517415574,0.05785149316215399
9,0.08097717948646395,0.059225970694947706
10,0.08513173142757482,0.05602584147362529
11,0.09560452941668983,0.0662783388222168
12,0.08550164399944184,0.07291221043818226
13,0.08090048723416156,0.07211299860452318
14,0.09491269747139307,0.06430425816354957
15,0.08260428451576897,0.05414120625174383
16,0.07982631636533641,0.05642567122522994
17,0.1057961024951157,0.05990573150990755
18,0.10686360366452688,0.060388630477253416
19,0.10503241888082591,0.058126934691598936
20,0.10170803174713919,0.05745763354730642
21,0.11175528276025704,0.05910397990510697
22,0.10146161538933872,0.059423667038793995
23,0.10193774711415028,0.05852872899804612
24,0.11079694372788185,0.060986948646385486
25,0.15002904426458263,0.059620178900362815
26,0.11910984150153545,0.06161406120569335
27,0.07854207164387376,0.0572792994138988
28,0.08392443391013107,0.056067391013117376
29,0.13062583653363086,0.05987557334635768
30,0.11419355526095445,0.06817249899525461
31,0.10126271295004204,0.06413584733463551
32,0.10252991042980703,0.06319664247837008
33,0.08553249184510184,0.0646609986045211
34,0.09731935334635784,0.06763123248674247
35,0.08500571253698011,0.06882630672620652
36,0.07825699712531407,0.05842250767513231
37,0.0834598730588892,0.058720970918224855
38,0.08116351222160187,0.05705490510745151
39,0.08260039466927142,0.06462449734859006
40,0.0824229228216576,0.06202340413061641
41,0.08030007013954782,0.061847691878313835
42,0.09058109381244767,0.06074393162154574
43,0.09150191571308972,0.06154250125593042
44,0.07908122451576893,0.06004781635500925
45,0.08008436763326832,0.053193855428411596
46,0.08868252827797948,0.054944773932458446
47,0.09819058905107446,0.05576061484789287
48,0.08784551071727585,0.052852876918783216
49,0.10459289254814401,0.06337531230812157
50,0.09292738241696907,0.06084267345799596
51,0.09869308596148478,0.061763789003628125
52,0.07153225992185318,0.056196187831425916
53,0.08066803894222732,0.059843017862126716
54,0.08183167209042733,0.06081450069773947
55,0.07669643486742962,0.06656511917387677
56,0.08463933357521641,0.06470027435110268
57,0.10868851392687727,0.06280279570192564
58,0.07856006718950616,0.06265845046050789
59,0.08913475623220768,0.06587986045213488
60,0.08141502791571299,0.06558852107172736
61,0.07502069845939174,0.05809542255093456
62,0.07708505023723128,0.06513855958693764
63,0.08822369790678226,0.0694952389059441
64,0.0845888127437902,0.06815556070332067
65,0.0859864565727044,0.06901543287747648
66,0.08230173158526387,0.05825365168852889
67,0.09564850999720907,0.05426195478649146
68,0.1019964598492883,0.05406493265420017
69,0.11255367216123409,0.05464817778397963
70,0.08221975586938335,0.05556393217973736
71,0.10155773653084028,0.059210215740999085
72,0.09031941152665364,0.0627378844543678
73,0.09169238523583588,0.058692543957577385
74,0.07887556401618757,0.04905667945855409
75,0.07040050756070344,0.04591107954228266
76,0.09735572468880828,0.05088955847055546
77,0.09713261392687669,0.059209736533631055
78,0.07868411929109677,0.0646246430365617
79,0.08402980713089603,0.053932277142059816
80,0.08901644821657845,0.053267544236672994
81,0.07804900022327667,0.05306180212112745
82,0.08927543936645262,0.05461338878035135
83,0.09777305617359745,0.05640901814122177
84,0.08747910756349427,0.058516000837287
85,0.08607323449623216,0.057858026793189944
86,0.08394686236114976,0.058004888361707654
87,0.08639649656154058,0.05531367457437852
88,0.09056170090985204,0.057423620429807073
89,0.09538637236952259,0.06983523946413595
90,0.09531188119173906,0.06541503209600849
91,0.08743466016773638,0.06894697683505445
92,0.09290263262824468,0.06842252721183366
93,0.08337862905107461,0.06608783589171106
94,0.08586449928356152,0.06681445883337961
95,0.09551642985738219,0.06675786151269891
96,0.09405572023444042,0.056935935807981994
97,0.0931869547864916,0.05858395813564044
98,0.07490051227742142,0.052149903432877474
99,0.059559329182249425,0.052734955344683
100,0.07051776857382074,0.05387067317890004
101,0.07281771959252033,0.05416259642757455
102,0.07450260728718953,0.05607816382919337
103,0.080958134303656,0.057566369243650495
104,0.07551101868545902,0.056978236952274566
105,0.07699928230142356,0.05667648032375078
106,0.08035563106438744,0.05461071895060003
107,0.0817097892324869,0.05748148116103788
108,0.07740602998604537,0.05408094194808797
109,0.08624029299190636,0.05715146106614533
110,0.09043250394362286,0.056856249232486666
111,0.09201528945018152,0.05751199051074476
112,0.08522403728998043,0.05788767708624022
113,0.0865412703656155,0.05485298688250032
114,0.08873389438459421,0.05493859084565972
115,0.08377443236952264,0.055422537259279744
116,0.08352107892827237,0.05562769159921851
